Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD Potential
"Coding Their Future: Computer Science Education in secondary schools","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55300","Duncan Hull","8 students","H","H","False"
"Interval Deep Evidential Classification for Medical and Inverse Problems","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55371","Caprio Michele","2 students","F","F","True"
"Automatic Audio Processing for Podcasts and Videos","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55309","Terry Morley","2 students","F","F","True"
"Auction Mechanisms for Local Energy Markets","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55318","Mustafa Mustafa","1 student","F","F","False"
"Local Energy Markets with Grid Constraints","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55321","Mustafa Mustafa","1 student","F","F","True"
"Local Energy Markets with User Preferences","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55317","Mustafa Mustafa","1 student","F","F","False"
"Privacy-cost trade-off in electricity load shifting (with LLMs)","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55319","Mustafa Mustafa","2 students","F","F","True"
"A Game of Spacetime","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55285","Bijan Parsia","4 students","F","F","False"
"Agent Based Epidemiological Modelling of COVID-19","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55286","Bijan Parsia","8 students","F","F","True"
"Engaging History Tools","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55287","Bijan Parsia","6 students","F","F","False"
"N-Version Testing","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55289","Bijan Parsia","4 students","F","F","False"
"Teaching Software Engineering","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55290","Bijan Parsia","8 students","F","F","False"
"A Software Tool to Illustrate Graph Colouring","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55367","Rizos Sakellariou","2 students","F","F","True"
"Client-Server Backgammon variant player","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55368","Rizos Sakellariou","4 students","F","F","False"
"Evaluating task graph scheduling algorithms","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55369","Rizos Sakellariou","2 students","C","C","True"
"Social Network Analysis and Metrics","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55370","Rizos Sakellariou","2 students","C","C","True"
"Validating semantic artefact profiles for Research Object Crates","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55352","Stian Soiland-reyes","2 students","F","F","True"
"Software Analysis and Large Language Models","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55315","Youcheng Sun","1 student","F","H","True"
"A robot-composer","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55385","Ainur Begalinova","1 student","F","F","True"
"Advancing Robotic Hand Manipulation for Diverse Object Interaction","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55375","Ainur Begalinova","2 students","F","F","True"
"Enhancing human-robot interaction","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55379","Ainur Begalinova","2 students","F","F","True"
"Face expression recognition","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55386","Ainur Begalinova","1 student","F","F","True"
"Human motion prediction","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55387","Ainur Begalinova","1 student","F","F","True"
"Robot grasp stability estimation","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55382","Ainur Begalinova","1 student","F","F","True"
