Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD Potential
"Architecture for on-chip communication in multi-tenant fog systems","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55394","Davide Bertozzi","1 student","H","H","True"
"Co-simulation of spiking neural networks with neuromorphic hardware","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55395","Davide Bertozzi","1 student","H","C","True"
"AI Study Companion","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55410","Christoforos Moutafis","4 students","C","C","True"
"GPU-based simulations of magnetic racetrack memories","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55398","Christoforos Moutafis","1 student","H","H","True"
"Simple assistive software: design, development, and evaluation","General Applications","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057","Mary Mcgee Wood","3 students","C","M","True"
"Exploring dynamic deep neural network architectures","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55388","Davide Bertozzi","1 student","H","C","True"
"Deceptive Planning Techniques for Robotic Motion Planning Tasks","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55324","Ramon Fraga Pereira","2 students","F","F","False"
"Multi-Agent Coordination and Cooperation using Landmarks, Centroids, and Minimum Covering States","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55325","Ramon Fraga Pereira","2 students","M","M","False"
"Pruning and Quantisation of Robust Neural Networks","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55403","Edoardo Manino","2 students","F","F","True"
"What was the question again? Adversarial attacks on large language models","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55402","Edoardo Manino","2 students","F","F","True"
"GPU-based simulations of spintronics-based neuromorphic components for next-generation intelligent computing","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55405","Christoforos Moutafis","3 students","H","H","True"
"Computational Fluid Dynamics, OpenFoam and Neural Operators","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55301","Anirbit Mukherjee","2 students","M","M","True"
"Bio-inspired vision with neuromorphic computing","Artificial Intelligence","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55400","Oliver Rhodes","7 students","H","C","True"
"Efficient multicast in neuromorphic hardware","Hardware and Peripherals","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55396","Davide Bertozzi","1 student","H","C","True"
"Implementing dynamic deep neural networks on the NVDLA deep learning accelerator","Hardware and Peripherals","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55392","Davide Bertozzi","1 student","H","C","True"
"Network interface for the NVDLA deep learning accelerator","Hardware and Peripherals","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55393","Davide Bertozzi","1 student","N","H","True"
"Reliability assessment of NVDLA deep learning accelerator","Hardware and Peripherals","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55391","Davide Bertozzi","1 student","H","C","True"
"MANETs, VANETs and FANETs","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55035","Stewart Blakeway","4 students","M","M","False"
"Automated Testing of Neural Network Software Implementations via Fuzzing","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55404","Edoardo Manino","2 students","F","F","True"
"Privacy-Preserving Neural Network Inference via Homomorphic Encryption","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55401","Edoardo Manino","2 students","F","F","True"
"A Teaching Tool for JASON, a BDI Agent Framework","Teaching Tools","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55169","Thomas Carroll","1 student","F","F","False"
"Immersive VR Art Gallery","Human-Computer Interaction","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55201","David Petrescu","4 students","F","F","False"
"Science Lab in the Web","Web and web service systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55406","Christoforos Moutafis","3 students","M","M","False"
