Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD potential
A Blockchain Based Application,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55080,Richard Banach,1 student,F,F,No
A Quantum Computing Project,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55079,Richard Banach,1 student,H,H,Yes
Propose your own project in Logic/Automated Reasoning/Verification/Maths,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55251,Konstantin Korovin,1 student,F,F,Yes
Your idea for a mathematical project,Student Own,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55177,Andrea Schalk,2 students,C,C,No
A Botnet Detector,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55119,Ning Zhang,2 students,F,F,No
A Game of Spacetime,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55285,Bijan Parsia,4 students,F,F,No
A hi-tech pantry,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55148,Gavin Brown,1 student,F,F,No
A Multi-factor Authentication Simulator,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55118,Ning Zhang,2 students,F,F,No
A Music Theory Tutor using Visualisation,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55056,Mary Mcgee Wood,3 students,F,F,No
A Recipe for Perfect Recipes?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55130,Kung-kiu Lau,2 students,F,F,No
A Simulator for Teaching Ciphers,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55117,Ning Zhang,3 students,F,F,No
A Software Tool to Illustrate Graph Colouring,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55367,Rizos Sakellariou,2 students,F,F,Yes
A Virtual Turntable,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55259,Sean Bechhofer,3 students,F,F,No
Agent Based Epidemiological Modelling of COVID-19,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55286,Bijan Parsia,8 students,F,F,Yes
Analysing the Landscape of UK Computer Science research,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55149,Gavin Brown,2 students,F,F,No
Analysing the System Call Invocation Behaviour of Applications,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55066,Pierre Olivier,1 student,H,H,Yes
Auction Mechanisms for Local Energy Markets,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55318,Mustafa Mustafa,1 student,F,F,No
Automatic Audio Processing for Podcasts and Videos,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55309,Terry Morley,2 students,F,F,Yes
Cellular Automata for Simulations of Dynamic Systems,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55185,Uli Sattler,2 students,F,F,No
Cheapest Public Transport to Work,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55172,Thomas Carroll,2 students,F,F,No
Client-Server Backgammon variant player,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55368,Rizos Sakellariou,4 students,F,F,No
Coding Their Future: Computer Science Education in secondary schools,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55300,Duncan Hull,8 students,H,H,No
Describing Folk Dance,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55257,Sean Bechhofer,3 students,F,F,No
Design Space Exploration of Per-Application Tailored Kernels,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55065,Pierre Olivier,1 student,H,H,Yes
Develop a Context-Aware Access Control (CAAC) Decision Engine,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55113,Ning Zhang,2 students,C,C,No
Development of an Application for Data Consumers in Digital Data Marketplaces,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55417,Sandra Sampaio,1 student,C,C,Yes
Engaging History Tools,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55287,Bijan Parsia,6 students,F,F,No
Enigma Machine Simulator,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55173,Thomas Carroll,2 students,F,F,No
Evaluating task graph scheduling algorithms,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55369,Rizos Sakellariou,2 students,C,C,Yes
Evaluating the accuracy of Movebase in a Nuclear Remote Inspection Scenario,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55107,Louise Dennis,1 student,F,F,No
Everything Happens Somewhere,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55050,Mary Mcgee Wood,3 students,F,F,Yes
Exercise Monitor,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55102,Tim Morris,1 student,F,F,No
Game of Dots and Boxes (aka: Squares),General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55174,Thomas Carroll,2 students,F,F,No
Good ol' linux ical for Windows,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55164,Richard Banach,1 student,F,F,No
How many students will apply for this project?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55110,Gavin Brown,1 student,C,C,No
How reliable are hard disk (HDD) and solid state (SSD) drives?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55073,Tom Thomson,1 student,C,C,No
Interval Deep Evidential Classification for Medical and Inverse Problems,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55371,Caprio Michele,2 students,F,F,Yes
Local Energy Markets with Grid Constraints,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55321,Mustafa Mustafa,1 student,F,F,Yes
Local Energy Markets with User Preferences,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55317,Mustafa Mustafa,1 student,F,F,No
Localisation App to Visualise Blood Glucose Levels for Type 1 Diabetics,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55195,Paul Nutter,1 student,F,F,No
Logic and automated reasoning,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55183,Uli Sattler,4 students,F,F,Yes
Make programs small again,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55191,Pavlos Petoumenos,1 student,H,C,Yes
Managing Crowdsourced Points of Interest Information,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55064,Mary Mcgee Wood,3 students,F,F,No
Modelling Polarization in Social Networks,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55125,Louise Dennis,2 students,F,F,Yes
Modular Patch Storage/Library,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55261,Sean Bechhofer,1 student,F,F,No
Modular Synthesis with VCV Rack,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55260,Sean Bechhofer,3 students,C,C,No
My Little Operating System,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55266,Jim Garside,3 students,C,F,No
My Mortgage Modeller,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55026,Gavin Brown,1 student,F,F,No
N-Version Testing,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55289,Bijan Parsia,4 students,F,F,No
Non-standard automated reasoning,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55184,Uli Sattler,4 students,F,F,Yes
Panorama Creation,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55258,Sean Bechhofer,3 students,F,F,No
Performance Estimation Across Instruction Set Architectures,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55067,Pierre Olivier,1 student,H,H,No
Predicting a program's cache behaviour,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55190,Pavlos Petoumenos,1 student,F,F,Yes
Privacy-cost trade-off in electricity load shifting (with LLMs),General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55319,Mustafa Mustafa,2 students,F,F,Yes
Revolutionising Academic Scheduling with Advanced Timetabling Solutions,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55046,Gareth Henshall,2 students,F,F,No
Room occupancy viewing and booking system,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55210,Paul Nutter,1 student,F,F,No
"Simple assistive software: design, development, and evaluation",General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057,Mary Mcgee Wood,3 students,C,M,Yes
Simulating string playing to make physical modelling synthesis more realistic,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55232,Joseph Razavi,1 student,F,F,No
Social Network Analysis and Metrics,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55370,Rizos Sakellariou,2 students,C,C,Yes
Software Analysis and Large Language Models,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55315,Youcheng Sun,1 student,F,H,Yes
Statically predict the runtime behaviour of parts of a program,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55189,Pavlos Petoumenos,2 students,H,H,Yes
Strategic Scheduling Solutions: Elevating the Six Nations Rugby Experience,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55043,Gareth Henshall,2 students,F,F,No
Synaesthetic Computing,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55128,Kung-kiu Lau,3 students,F,F,No
Teaching Software Engineering,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55290,Bijan Parsia,8 students,F,F,No
Type 1 Diabetes Food Management System,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55198,Paul Nutter,1 student,F,F,No
Validating semantic artefact profiles for Research Object Crates,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55352,Stian Soiland-reyes,2 students,F,F,Yes
Verification of Deep Neural Networks,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55053,Lucas Cordeiro,2 students,F,F,No
Verifying Python Programs in Robotic Applications,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55055,Lucas Cordeiro,2 students,F,F,No
Visualising Infinity,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55129,Kung-kiu Lau,2 students,F,F,No
Will it merge?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55188,Pavlos Petoumenos,1 student,C,C,Yes
3D Hand tracking from monocular RGB,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55421,Aphrodite Galata,3 students,C,C,Yes
